seed,n,d,width,gaussian_input,quadratic_form,common_eta,first_positive_step,delta_before,delta_after,crossing
101,300,20,5000,true,230086597.32064056,3.993790112390288e-07,1834,-3.5527677251957357,4.234259485747316,true
102,300,20,5000,true,227914228.3316757,4.116200612169875e-07,1853,-2.154113317010342,4.794671725787339,true
103,300,20,5000,true,295328787.8617785,4.291152232376478e-07,1943,-4.369918762342422,1.244886688182305,true
104,300,20,5000,true,131906078.79559323,4.002562199598507e-07,1812,-4.442477534139471,3.5828333877943805,true
105,300,20,5000,true,132998539.16490602,4.1271303630390674e-07,1939,-5.694836237569689,0.7677326423945487,true
